Timestamp,Idle Time,Memory Usage,Bytes Sent,Bytes Received
1693436737.363534,102139.58,82.9,143532032,2014531584
1693436742.367605,102169.88,83.5,143540224,2014535680
1693436747.37273,102199.76,83.7,143546368,2014566400
1693436752.374142,102230.27,82.9,143546368,2014566400
1693436757.377032,102263.81,83.0,143546368,2014566400
1693436762.379147,102297.26,82.6,143546368,2014566400
1693436767.384393,102330.64,82.7,143548416,2014567424
1693436772.386383,102364.32,82.7,143548416,2014567424
1693436777.388235,102397.79,82.5,143548416,2014567424
1693436782.390015,102428.09,83.7,143549440,2014568448
1693436787.391865,102459.29,83.5,143549440,2014568448
1693436792.3929012,102490.25,83.6,143549440,2014568448
1693436797.398409,102522.32,83.4,143551488,2014574592
1693436802.399432,102552.85,83.3,143556608,2014592000
1693436807.40111,102583.3,84.3,143568896,2014750720
1693436812.4032671,102613.49,85.2,143575040,2014835712
1693436817.403677,102643.81,85.0,143576064,2014835712
1693436822.409203,102676.12,83.5,143581184,2014864384
1693436827.41454,102705.3,84.9,143625216,2020528128
1693436832.420321,102732.71,85.0,143650816,2024985600
1693436837.4273212,102764.04,84.1,143650816,2024985600
1693436842.432561,102795.27,83.3,143653888,2024989696
1693436847.437867,102826.29,83.9,143656960,2025212928
1693436852.440112,102856.05,85.0,143708160,2026471424
1693436857.441746,102882.83,84.3,143751168,2031214592
1693436862.442592,102915.78,84.2,143751168,2031214592
1693436867.44447,102948.24,83.2,143757312,2031689728
1693436872.449318,102980.76,84.4,143763456,2031704064
1693436877.451006,103009.45,84.8,143765504,2031991808
1693436882.455171,103037.29,83.7,143797248,2032478208
1693436887.460834,103066.39,84.1,143857664,2033412096
1693436892.463784,103095.46,84.2,143876096,2033431552
1693436897.469586,103124.54,83.8,143911936,2033984512
1693436902.4755871,103155.35,84.1,143929344,2034029568
1693436907.4811032,103187.73,84.5,143934464,2034032640
1693436912.486586,103218.72,84.2,143995904,2034595840
1693436917.490562,103245.56,84.3,144328704,2039357440
1693436922.496329,103277.56,83.8,144332800,2039361536
1693436927.50189,103308.33,83.8,144346112,2039369728
1693436932.5073862,103340.31,83.3,144347136,2039372800
1693436937.509269,103372.65,83.3,144348160,2039373824
1693436942.5103202,103404.03,83.1,144350208,2039376896
1693436947.515659,103436.18,83.1,144353280,2039379968
1693436952.521173,103468.34,83.0,144356352,2039382016
1693436957.526484,103500.69,83.0,144357376,2039383040
1693436962.532018,103532.23,83.2,144361472,2039386112
1693436967.537534,103561.62,84.2,144375808,2039543808
1693436972.5429308,103588.56,85.4,144526336,2040665088
1693436977.544981,103608.68,85.0,144829440,2043889664
1693436982.546557,103631.98,85.1,145059840,2046331904
1693436987.5494661,103660.03,85.0,145241088,2046658560
1693436992.551035,103687.11,84.7,145293312,2046764032
1693436997.556549,103714.24,84.6,145391616,2047100928
1693437002.562762,103741.12,85.0,145441792,2047215616
1693437007.569985,103767.92,84.0,145448960,2047251456
1693437012.576031,103796.26,84.0,145471488,2047344640
1693437017.5801191,103825.51,83.9,145490944,2047373312
1693437022.5854568,103854.43,84.2,145518592,2047433728
1693437027.5874372,103883.19,84.5,145528832,2047443968
1693437032.593476,103905.52,85.2,145779712,2049559552
